GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT-with-Spring-Security,com.spring.jwt.car.mapper,CarMapper,424,0,72,0,79,0,40,0,4,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter,102,0,6,0,16,0,9,0,6,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,CustomAuthenticationProvider,155,0,16,0,40,0,16,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtUsernamePasswordAuthenticationFilter,322,0,4,0,83,0,9,0,7,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter,586,0,32,0,152,0,25,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter.RefreshTokenAuthentication,35,0,0,0,14,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SecurityHeadersFilter,47,0,0,0,15,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter.RequestCounter,29,0,0,0,11,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper,293,0,26,0,61,0,21,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter,151,0,28,0,39,0,23,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper,255,0,20,0,56,0,18,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtTokenAuthenticationFilter,621,0,86,0,156,0,58,0,15,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter,18,0,0,0,7,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.socket.dto,AuctionEventDTO,24,0,0,0,1,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.socket.dto,ChatMessageDTO,124,0,22,0,5,0,21,0,10,0
JWT-with-Spring-Security,com.spring.jwt.socket.dto,BidMessageDTO,12,0,0,0,1,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.entity,BrandData,46,0,0,0,8,0,10,0,10,0
JWT-with-Spring-Security,com.spring.jwt.entity,Role,130,0,22,0,8,0,22,0,11,0
JWT-with-Spring-Security,com.spring.jwt.entity,UserProfile,504,0,90,0,14,0,73,0,28,0
JWT-with-Spring-Security,com.spring.jwt.entity,Buyer,203,0,34,0,7,0,31,0,14,0
JWT-with-Spring-Security,com.spring.jwt.entity,Status,71,0,4,0,13,0,6,0,4,0
JWT-with-Spring-Security,com.spring.jwt.entity,Seller,193,10,34,0,4,3,29,2,12,2
JWT-with-Spring-Security,com.spring.jwt.entity,User,907,0,162,0,26,0,127,0,46,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,LaptopPhotos.LaptopPhotosBuilder,45,0,0,0,1,0,7,0,7,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,LaptopBooking.LaptopBookingBuilder,81,0,0,0,1,0,11,0,11,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,LaptopPhotos,214,0,38,0,8,0,34,0,15,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,BeadingLaptop,640,0,126,0,17,0,98,0,35,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,Laptop,1200,0,212,0,32,0,166,0,60,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,LaptopBooking,402,0,74,0,16,0,61,0,24,0
JWT-with-Spring-Security,com.spring.jwt.laptop.entity,BidLaptops,275,0,54,0,8,0,44,0,17,0
JWT-with-Spring-Security,com.spring.jwt.exception.car,CarNotFoundException,9,0,0,0,4,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.exception.car,CarImageException,9,0,0,0,4,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.exception.car,CarValidationException,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,ResourceNotFound,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,BikeImageNotFound,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,bikeNotFoundException,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,InvalidBikeData,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,BookingNotFoundException,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,SellerNotFound,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.exception.Bike,StatusNotFoundException,4,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.Bike.Controller,Bike_booking_controller,100,0,0,0,20,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.Bike.Controller,bikeController,118,0,0,0,25,0,11,0,11,0
JWT-with-Spring-Security,com.spring.jwt.Bike.Controller,BikeImageController,46,0,0,0,8,0,4,0,4,0
JWT-with-Spring-Security,com.spring.jwt.car.controller,CarController,75,0,0,0,17,0,6,0,6,0
JWT-with-Spring-Security,com.spring.jwt.car.controller,CarImageController,42,0,0,0,14,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.utils.Colours.controller,ColourController,103,0,2,0,23,0,6,0,5,0
JWT-with-Spring-Security,com.spring.jwt.laptop.controller,LaptopBookingController,47,0,0,0,12,0,6,0,6,0
JWT-with-Spring-Security,com.spring.jwt.laptop.controller,LaptopPhotoController,55,0,0,0,14,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.laptop.controller,LaptopBeadingController,25,0,0,0,5,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.laptop.controller,LaptopBidWebSocketController,34,0,0,0,7,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.laptop.controller,LaptopController,163,0,2,0,28,0,10,0,9,0
JWT-with-Spring-Security,com.spring.jwt.Mobile.Mapper,MobileMapper,176,0,26,0,36,0,17,0,4,0
